Vel_Base	Kp	Kd	Tiempo_Vuelta
65	0.0568429463753	2538.94933987	12821.0
65	0.0671259603984	2824.12260863	5452.0
65	0.0671225502043	3599.9192394	5356.0
65	0.0680038002937	2888.68330055	5436.0
65	0.0749735408112	2720.0203442	5364.0
65	0.0479375785978	3326.59905906	5303.0
65	0.0675555451826	3697.71482247	5324.0
65	0.067268760375	3272.77077743	5399.0
65	0.0581134027173	2200.0	5320.0
65	0.0649775298643	2560.50333359	5441.0
65	0.045	3720.42391866	6079.0
65	0.0646626672518	3800.0	5390.0
65	0.0601934221643	3181.14577869	5359.0
65	0.0506205869501	2200.0	5384.0
65	0.0622201430425	2787.17044113	5303.0
65	0.045	3601.05565096	5323.0
65	0.0598751133936	3800.0	5413.0
65	0.0546741836862	3242.20201598	5319.0
65	0.0463514545231	2340.14094377	5337.0
65	0.0541488368608	3030.77119848	5343.0
65	0.0464862338317	3404.51798352	5331.0
65	0.0581646170918	3599.38109437	5323.0
65	0.0498811862811	3284.63199115	5360.0
65	0.0483886926019	2744.32582959	5234.0
65	0.0506688175163	2904.00330284	5374.0
65	0.0482282396379	3039.44431002	5347.0
65	0.0546673330124	3255.73276066	5312.0
65	0.0485958438244	3100.94956262	5393.0
65	0.0494073116413	2946.4182725	5312.0
65	0.0520736782346	2766.80907614	5395.0
65	0.0490300688101	2785.87979042	5382.0
65	0.050007491515	3019.93622906	5352.0
65	0.0481551399156	2960.40546688	5340.0
65	0.0490229359749	2963.16127938	5304.0
65	0.0551669162703	2700.27233043	5464.0
65	0.0492130358198	2706.98319509	5301.0
65	0.0472803000941	2780.29185944	5291.0
65	0.0504586315178	2882.62057114	5309.0
65	0.0485206221402	2783.01389122	5387.0
65	0.0556789465747	2689.31080843	5380.0
65	0.0491567673401	2676.11840531	5353.0
65	0.0462675566594	2644.1748765	5364.0
65	0.0513631373138	2820.32524937	5368.0
65	0.0481687529314	2659.08703197	5414.0
65	0.0558870209733	2724.57716494	5389.0
65	0.0489672011638	2685.44062633	5324.0
65	0.0466732442927	2651.61866749	5312.0
65	0.0507108606334	2769.6009612	5327.0
65	0.0481497715377	2618.55319475	5415.0
65	0.057875712295	2755.93941361	5316.0
65	0.0487231979174	2703.75597132	5439.0
65	0.0469784677697	2713.67857658	5307.0
65	0.0495340385288	2778.10413343	5323.0
65	0.0482831258363	2645.61730909	5237.0
65	0.0581437971628	2782.75559909	5308.0
65	0.0486855184197	2733.33126461	5302.0
65	0.047840168966	2771.25055399	5283.0
65	0.0490081373469	2767.77515176	5323.0
65	0.0484045294397	2707.40418319	5303.0
65	0.0577878978399	2791.91559301	5298.0
65	0.0486072351546	2745.33972542	5396.0
65	0.0484551283595	2787.46218348	5385.0
65	0.0489494379161	2810.00513635	5338.0
65	0.0484536489262	2746.56655107	5341.0
65	0.0555127945962	2788.4383808	5368.0
65	0.0486222183651	2739.47235959	5333.0
65	0.0484558192118	2769.75853262	5380.0
65	0.0493826338838	2812.56167008	5305.0
65	0.0484491764335	2765.06907432	5328.0
65	0.0545209212843	2775.3191188	5302.0
65	0.0487116021454	2729.15659126	5363.0
65	0.0483706941109	2757.79907242	5319.0
65	0.049395184344	2793.73565786	5354.0
65	0.0483964724412	2766.95005577	5323.0
65	0.0529380783951	2772.06014411	5272.0
65	0.048675261338	2730.99427267	5292.0
65	0.0481330233034	2753.31039688	5348.0
65	0.0489259696983	2786.39401856	5321.0
65	0.0483647366233	2756.24999182	5379.0
65	0.0508890670858	2766.44825221	5356.0
65	0.0485367263328	2733.05262092	5331.0
65	0.047973063367	2754.7570254	5338.0
65	0.0486855087305	2785.7171393	5328.0
65	0.0483606227747	2745.28281433	5277.0
65	0.0502981965439	2761.03017862	5359.0
65	0.0484957598994	2738.03876718	5375.0
65	0.0480298868006	2755.9163509	5257.0
65	0.0485674809571	2791.06350678	5306.0
65	0.0483641815422	2739.31244513	5329.0
65	0.0503866470853	2762.52017907	5379.0
65	0.0485241739581	2741.77468915	5405.0
65	0.0482313611388	2754.25252123	5367.0
65	0.0488139678954	2789.3133014	5327.0
65	0.0483684816845	2739.41290955	5405.0
65	0.0502736945247	2758.36137002	5337.0
65	0.0484818393866	2743.69403758	5361.0
65	0.0482643643901	2750.21943249	5360.0
65	0.0488106148657	2774.56903305	5343.0
65	0.0483889444793	2742.22968036	5354.0
65	0.0503285920535	2757.34940185	5321.0
65	0.0484478135258	2740.98131369	5344.0
65	0.0482511312374	2748.52465024	5387.0
65	0.048620073506	2783.88290421	5307.0
65	0.0483990664365	2744.31702578	5343.0
65	0.050647736125	2754.39983622	5405.0
65	0.0485029805411	2736.62788226	5297.0
65	0.048217266578	2747.74980473	5316.0
65	0.0485167380073	2778.92770589	5358.0
65	0.0483968165783	2745.36527027	5409.0
65	0.0507010473106	2756.02615582	5389.0
65	0.0485129494097	2737.5927003	5384.0
65	0.0482102958884	2747.34438833	5331.0
65	0.0486418951343	2791.37377578	5351.0
65	0.0483907969827	2745.5928566	5307.0
65	0.0507756837939	2759.61296423	5283.0
65	0.0485598018385	2739.51982605	5377.0
65	0.0481898925894	2750.28301893	5231.0
